"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Newport 010C ",52,53,30,31,56,43,58,60,32,27,24,29,24,32,30,35
"Newport 010D ",65,59,26,21,75,69,54,24,29,39,23,21,20,24,19,33
"Newport 002A ",6,7,5,4,7,2,8,11,4,5,5,3,3,2,6,5
"Newport 002B ",52,51,32,39,63,43,49,45,31,33,31,30,33,35,43,38
"Newport 002C ",11,10,5,5,12,18,4,6,9,7,6,3,5,3,8,6
"Newport 002D ",13,14,8,9,13,9,16,21,7,9,7,7,6,6,13,9
"Newport 002E ",7,9,4,9,8,4,9,18,4,3,4,4,4,5,15,6
"Newport 003A ",55,52,34,34,69,49,47,33,43,32,39,31,29,29,42,39
"Newport 003B ",38,36,23,24,37,41,36,27,24,23,26,19,24,24,24,26
"Newport 003C ",52,49,33,34,58,65,36,29,44,40,38,24,26,35,32,37
"Newport 003D ",39,37,21,18,39,43,37,27,27,18,19,24,18,18,18,25
"Newport 003E ",37,38,27,34,36,45,32,43,33,26,29,22,25,22,63,30
"Newport 003F ",19,18,12,29,26,15,18,15,13,16,16,9,9,25,34,17
"Newport 006A ",46,44,28,22,52,42,42,35,29,30,32,24,22,23,21,32
"Newport 006B ",52,51,28,40,57,48,48,49,22,30,30,27,26,38,42,35
"Newport 006C ",34,35,17,30,35,40,30,39,17,16,14,15,18,26,33,23
"Newport 006D ",20,19,10,16,22,21,17,16,13,11,12,7,4,13,19,13
"Newport 006E ",20,21,11,10,19,23,20,25,16,12,6,7,11,11,10,13
"Newport 012A ",8,8,5,3,10,9,5,10,14,4,3,7,1,2,5,5
"Newport 012B ",2,2,4,17,2,0,3,2,5,2,3,4,7,15,19,7
"Newport 012C ",17,19,16,12,22,16,14,27,17,15,13,18,12,9,15,15
"Newport 012D ",11,10,5,5,10,11,10,7,6,11,6,4,2,5,5,6
"Newport 014A ",19,19,18,26,20,19,17,21,19,19,15,16,23,25,27,20
"Newport 014B ",30,29,20,42,39,27,23,24,17,19,18,23,27,42,43,25
"Newport 014C ",20,20,13,25,32,19,15,16,12,17,11,12,14,16,34,16
"Newport 014D ",42,44,26,27,25,50,57,56,30,18,26,34,27,28,26,29
"Newport 018A ",51,51,35,50,52,48,52,51,27,30,33,38,38,45,56,41
"Newport 018B ",43,40,21,37,40,49,40,28,13,24,24,18,22,34,39,28
"Newport 018C ",49,46,27,63,47,54,47,31,10,26,37,46,48,67,59,34
"Newport 018D ",46,47,42,55,58,34,48,53,45,32,38,51,47,57,53,45
"Newport 007A ",16,16,12,18,14,18,15,18,9,13,14,12,8,18,18,13
"Newport 007B ",26,26,17,29,29,23,24,26,16,14,18,20,13,24,37,20
"Newport 007C ",14,14,7,16,11,15,15,15,11,9,8,5,3,7,27,10
"Newport 007D ",13,13,7,9,14,11,15,12,14,3,8,8,4,7,12,8
"Newport 007E ",25,22,10,19,31,19,24,11,17,12,15,5,6,12,30,14
"Newport 011A ",28,27,15,21,30,30,23,25,9,20,12,16,9,15,27,18
"Newport 011B ",13,13,14,18,17,9,13,11,12,16,14,14,15,22,14,15
"Newport 011C ",15,16,9,16,22,14,8,18,13,11,7,8,8,10,22,12
"Newport 011D ",29,28,21,36,32,25,31,24,19,15,29,26,17,34,37,25
"Newport 011E ",43,44,25,27,42,48,40,46,18,22,28,24,26,26,30,29
"Newport 013A ",40,36,19,26,36,46,38,19,16,18,22,19,20,23,30,24
"Newport 013B ",45,43,25,39,48,44,42,34,21,26,26,22,24,41,37,32
"Newport 013C ",25,25,12,17,22,25,30,28,9,10,13,15,11,14,21,16
"Newport 013D ",38,38,21,26,40,37,38,34,21,17,22,20,19,32,20,25
"Newport 013E ",37,38,27,38,41,36,35,42,21,22,33,27,29,33,46,30
"Newport 015A ",57,56,30,41,50,57,65,53,23,23,29,31,33,38,44,39
"Newport 015B ",41,39,30,32,56,39,28,29,31,37,31,28,24,37,27,34
"Newport 015C ",41,40,18,20,40,39,43,39,21,20,17,13,13,18,24,24
"Newport 015D ",30,29,15,15,25,36,31,25,13,18,17,9,13,10,24,19
"Newport 015E ",53,43,21,23,52,62,49,22,10,32,31,29,19,15,33,28
"Newport 015F ",31,31,12,7,31,35,25,28,15,12,14,8,9,3,11,15
"Newport 015G ",27,24,11,14,35,31,17,16,11,15,10,6,11,13,15,14
"Newport 009A ",1,2,2,3,0,0,1,5,3,5,2,2,1,2,4,2
"Newport 009B ",7,7,3,8,10,4,7,8,7,3,3,3,1,3,14,5
"Newport 009C ",14,15,9,20,12,13,17,20,15,8,7,8,9,13,28,12
"Newport 009D ",5,5,4,5,7,5,5,3,6,9,4,3,2,2,9,4
"Newport 009E ",19,20,12,15,16,22,20,26,15,10,12,9,9,16,14,14
"Newport 016A ",2,2,6,10,1,0,3,4,5,10,6,6,5,10,10,6
"Newport 016B ",11,11,7,11,11,9,12,14,9,5,7,7,8,11,11,9
"Newport 016C ",5,6,3,6,8,3,5,8,6,2,1,5,1,4,7,4
"Newport 016D ",23,23,15,25,25,25,20,23,27,10,13,16,15,22,29,19
"Newport 017A ",15,16,11,12,17,10,17,21,15,13,8,8,13,9,15,12
"Newport 017B ",38,37,24,30,56,34,30,31,23,24,25,25,22,31,29,28
"Newport 017C ",15,14,7,14,12,19,16,10,4,3,9,9,6,9,23,10
"Newport 017D ",28,28,17,29,26,27,32,27,16,15,20,14,17,26,34,21
"Newport 019A ",52,48,25,34,67,52,36,29,33,31,17,20,25,31,38,33
"Newport 019B ",28,26,14,20,24,33,27,19,13,22,10,13,12,17,24,18
"Newport 019C ",28,29,14,22,27,25,34,38,16,12,15,13,10,17,32,18
"Newport 019D ",46,47,35,44,54,44,42,54,36,34,33,31,32,39,48,39
"Newport 020A ",8,9,4,4,6,8,11,12,4,3,4,3,2,4,3,5
"Newport 020C ",6,6,3,5,7,2,7,7,8,2,3,1,4,2,8,4
"Newport 020D ",9,9,6,14,7,7,12,13,11,4,5,5,8,9,21,8
"Newport 020E ",6,7,4,14,7,6,7,14,11,6,2,3,2,11,19,7
"Newport 020F ",12,13,5,9,8,16,13,23,7,3,3,6,6,5,18,7



Footnotes:
"Age Group","In some instances, the number of households in receipt of income related benefits or tax credits may exceed the area population. This is due to changes from the Mid-2012 Small Area Population Estimates used and changes in the population of that small area from this year. This has resulted in some of the percentage of households in receipt of income related benefits or tax credits being larger than 100 per cent. In these cases, the percentage has been capped at 100. "
".","The data item is not applicable."
Metadata:
"Title","Income Deprivation Data - LSOA"
"Last update","30 January 2018"
"Publishing organisation","Welsh Government"
"Source 1","The Department for Work and Pensions"
"Source 3","Her Majesty's Revenue and Customs and the Home Office"
"Contact email","stats.inclusion@gov.wales"
"Designation","National Statistics"
"Lowest level of geographical disaggregation","Lower-layer super output areas"
"Geographical coverage","Wales"
"Languages covered","English and Welsh"
"Data licensing","You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence"
"General description","Income deprivation consists of a single composite indicator calculated from the following elements. 
a) Income-Related Benefit claimants 
b) certain Tax Credit recipients 
c) Supported Asylum Seekers
d) certain Universal Credit claimants 

It sums claimants and dependent children for each element, and then divides this by the total resident population for the geography group considered. 
"
"Data collection and calculation","Please see the WIMD 2014 Technical Report on the weblinks tab for more information."
"Frequency of publication","No drop down value selected"
"Data reference periods","Please see WIMD: A guide to analysing indicator data on the weblinks tab for more information."
"Users, uses and context","Please see the WIMD 2014 Publication on the weblinks tab for more information on users and uses and context. "
"Rounding applied","Disclosure control is applied by the Department of Work and Pensions."
"Statistical quality","For the information relating to statistical quality please see the WIMD 2014 Technical Report and the WIMD 2014 Publication on the weblinks tab. "
"Weblinks","The WIMD webpage: http://gov.wales/statistics-and-research/welsh-index-multiple-deprivation/?lang=en 
The WIMD indicators webpage: http://gov.wales/statistics-and-research/welsh-index-multiple-deprivation-indicator-data/?lang=en
The WIMD 2014 Publication: http://gov.wales/docs/statistics/2014/141126-wimd-2014-en.pdf
The WIMD 2014 Technical report http://gov.wales/docs/statistics/2014/141218-wimd-2014-technical-en.pdf
WIMD: A guide to analysing indicator data: http://gov.wales/docs/statistics/2017/170413-wimd-indicator-data-guidance-en.pdf
"
"Keywords","WIMD 2014; Multiple Deprivation; Deprivation; Social Inclusion; Indicators; LSOA; Income; Employment; Health; Education; Community Safety; Housing; Physical Environment; Access to Services"
